DATE;TIME PERIOD;BETA0;BETA1;BETA2;BETA3;TAU1;TAU2
06/09/2004;06/Sep/04;5,41051;-3,462358;-0,361335;-0,466368;3,128331;1,489535
07/09/2004;07/Sep/04;5,391886;-3,450353;-0,372908;-0,271295;3,157868;1,548566
08/09/2004;08/Sep/04;5,385978;-3,44795;-0,346505;-0,198077;3,137857;1,553148
09/09/2004;09/Sep/04;5,377333;-3,432592;-0,382208;-0,293482;3,271392;1,521143
10/09/2004;10/Sep/04;5,355732;-3,395283;-0,375382;-0,507894;3,279876;1,479197
13/09/2004;13/Sep/04;5,365402;-3,4144;-0,392852;-0,296918;3,312242;1,575132
14/09/2004;14/Sep/04;5,367759;-3,416192;-0,401331;-0,349662;3,311395;1,571843
15/09/2004;15/Sep/04;5,358261;-3,403146;-0,394387;-0,359843;3,300079;1,573123
16/09/2004;16/Sep/04;5,344475;-3,384598;-0,385639;-0,331579;3,290072;1,582903
17/09/2004;17/Sep/04;5,329382;-3,352071;-0,389468;-0,513191;3,285137;1,545061
20/09/2004;20/Sep/04;5,311582;-3,340882;-0,400759;-0,465314;3,307064;1,579832
21/09/2004;21/Sep/04;5,316766;-3,345874;-0,404348;-0,418107;3,313201;1,608639
22/09/2004;22/Sep/04;5,288747;-3,314467;-0,407773;-0,41037;3,323623;1,618347
23/09/2004;23/Sep/04;5,253548;-3,269991;-0,432389;-0,593371;3,390127;1,562785
24/09/2004;24/Sep/04;5,26471;-3,276933;-0,379458;-0,492621;3,360796;1,594566
27/09/2004;27/Sep/04;5,253619;-3,264359;-0,406792;-0,530257;3,381431;1,615821
28/09/2004;28/Sep/04;5,225969;-3,240747;-0,269781;-0,95952;3,016436;2,123408
29/09/2004;29/Sep/04;5,266523;-3,280723;-0,257037;-0,879122;3,034156;2,243265
30/09/2004;30/Sep/04;5,340518;-3,395727;-0,315219;-0,7211;3,152546;2,578964
01/10/2004;01/Oct/04;5,341975;-3,349416;-0,29972;-1,025981;3,001751;2,138339
04/10/2004;04/Oct/04;5,322765;-3,339854;-0,238226;-0,950022;2,95754;2,147792
05/10/2004;05/Oct/04;5,296801;-3,309165;-0,2643;-0,981123;2,988279;2,144351
06/10/2004;06/Oct/04;5,277725;-3,285321;-0,256977;-0,999105;2,974936;2,114445
07/10/2004;07/Oct/04;5,293635;-3,299416;-0,254627;-1,027483;2,967381;2,076934
08/10/2004;08/Oct/04;5,265467;-3,272119;-0,275895;-1,162594;3,022789;1,920927
